Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;08;Baden-Württemberg;11280257
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;09;Bayern;13369393
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;11;Berlin;3755251
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;12;Brandenburg;2573135
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;04;Bremen;684864
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;02;Hamburg;1892122
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;06;Hessen;6391360
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;1628378
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;03;Niedersachsen;8140242
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;05;Nordrhein-Westfalen;18139116
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;07;Rheinland-Pfalz;4159150
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;10;Saarland;992666
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;14;Sachsen;4086152
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;15;Sachsen-Anhalt;2186643
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;01;Schleswig-Holstein;2953270
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2022;DLAND;Bundesländer;16;Thüringen;2126846
